studentId,fullName,nickname,school,section,group
980001,HeroHealth Smoke P5 01,Smoke01,HeroHealth Smoke School,P5-SMOKE,A
980002,HeroHealth Smoke P5 02,Smoke02,HeroHealth Smoke School,P5-SMOKE,B
980003,HeroHealth Smoke P5 03,Smoke03,HeroHealth Smoke School,P5-SMOKE,C
980004,HeroHealth Smoke P5 04,Smoke04,HeroHealth Smoke School,P5-SMOKE,D
980005,HeroHealth Smoke P5 05,Smoke05,HeroHealth Smoke School,P5-SMOKE,E
980006,HeroHealth Smoke P5 06,Smoke06,HeroHealth Smoke School,P5-SMOKE,F
980007,HeroHealth Smoke P5 07,Smoke07,HeroHealth Smoke School,P5-SMOKE,G
980008,HeroHealth Smoke P5 08,Smoke08,HeroHealth Smoke School,P5-SMOKE,H
980009,HeroHealth Smoke P5 09,Smoke09,HeroHealth Smoke School,P5-SMOKE,I
980010,HeroHealth Smoke P5 10,Smoke10,HeroHealth Smoke School,P5-SMOKE,J
